Elevation,Q 
498.23075,6066
498.2095,6069
498.95,10309
499.319,13000
501.007,27100
501.803,34859
502.9028947,47278
501.047,28119
500.857,24746
500.437,21473.7
501.5196296,32212
498.6451963,8777
498.604016,8735
499.1513704,12761
499.3366383,13736
498.8414667,10245
499.3894694,14200
502.4435,43700
502.5705714,44900
499.583975,16300
499.1761373,13100
498.9296349,10500
499.6272526,16800
498.6299683,9060
