Elevation ,Q
801.49923,10100
801.39007,9300
801.2021,8557
805.429,47884
802.929,21630.7
803.2462,24746
803.5507647,27766
803.0542,21518
802.979,21085.1
804.1631515,31505
802.02725,13460
804.251,32476
801.1859412,8642
801.2091538,8795
804.2405417,32793
801.2048235,8780
801.5572,10322
801.7961818,12000
805.1418,43127
801.6376667,11300
801.8707021,12900
805.2308182,45300
801.8148421,12900
801.5287,10600
802.3792581,17000
801.148375,8390
