Elevation,Q 
563.16109,4695
563.47755,5385
564.65933,11755
563.48444,5385
563.49954,5480
563.54978,5525
564.67747,11433
564.86044,12557
564.739,12971
568.694,47884
566.734,27725.5
566.491,24746
566.067,21212.1
566.06,21444
566.2385,22996
567.2008,31505
566.193,22453
564.1501951,9109
564.1277692,8596
564.8135,12480
563.8419535,6889
564.2587209,9093
564.9520364,13778
564.3936129,10201
568.42575,44300
564.7757857,13000
564.4274737,10600
565.2981667,16600
564.1037297,8430
