Elevation,Q
697.75229,5627
698.59717,11755
697.7455,5584
697.78164,5826
697.84854,6292
698.52551,11278
701.207,47884
700.217,27725.5
699.997,24746
699.667,21405.7
700.5702,31853
699.7644,22393
698.8248,13650
698.2458475,9093
698.2444667,8657
700.5105882,31851
698.2212,8550
698.71136,12302
698.8810222,13799
701.1263333,44300
698.7258,13000
698.4741463,10600
699.1100417,16600
698.2228889,8500
